product_id,product_name,category,brand
PROD-0078,Reusable Produce Bags 15pk,Kitchen,EcoSlice
PROD-0079,Men's Compression Shorts,Apparel,FlexFit
PROD-0080,Wooden Spice Rack Wall Mount,Kitchen,EcoSlice
PROD-0081,Neck Massager Electric,Health,AlignPro
PROD-0082,Organic Matcha Powder 100g,Food & Beverage,NatureBrew
PROD-0083,Resistance Loop Bands 5pk,Sports,FitBand
PROD-0084,Polarized Sunglasses UV400,Apparel,ClearVision
PROD-0085,Kombucha Starter Kit,Food & Beverage,NatureBrew
PROD-0086,Folding Table Portable,Furniture,RiseUp
PROD-0087,RFID Blocking Wallet Slim,Apparel,SecureWallet
PROD-0088,Organic Turmeric Capsules,Health,VitaCore
PROD-0089,Wooden Balancing Board,Sports,BalanceMaster
PROD-0090,Silicone Baking Mats Set 2,Kitchen,BakeEase
PROD-0091,Guided Meditation Cards,Health,ZenFlex
PROD-0092,Plant-Based Protein Powder,Health,MuscleFuel
PROD-0093,Adjustable Laptop Bag 15in,Office,CarryOn
PROD-0094,Natural Loofah Sponge Set,Beauty,GlowLab
PROD-0095,Portable Camping Hammock,Sports,TrailMaster
PROD-0096,Gooseneck Kettle Pour-Over,Kitchen,BrewHouse
PROD-0097,Motivational Desk Calendar,Office,WriteOn
PROD-0098,Natural Deodorant Aluminum-Free,Health,EcoSmile
PROD-0099,Cordless Handheld Massager,Health,AlignPro
PROD-0100,Waterproof Bluetooth Earbuds,Electronics,SoundWave
